3D Animation and Visualization,Vehicle Technology,Assistive Technology,Chemistry and Biotechnology,Laboratory Tests,Digital Design,Electronics and Circuit Design,Environmental Technology,Emergency Medical Care,Physical Therapy,Performing Arts,Gerontology,Information Technology,International Business,Construction and Architecture,Creative Work,Lab Work,Patient Care,Social Services,Technology and Engineering,Hands-on Learning,Teamwork,Internships,Distance Learning,Artistic Creativity and Technology,RecommendedStudyPath
5,2,1,1,1,5,2,2,1,2,3,2,3,2,2,1,2,1,2,4,1,1,1,2,5,3D-animointi ja -visualisointi
4,2,2,1,1,4,1,1,2,1,1,1,1,1,1,2,2,2,2,3,2,1,2,1,4,3D-animointi ja -visualisointi
4,1,2,2,1,5,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,4,1,1,4,3D-animointi ja -visualisointi
5,2,2,1,1,4,2,1,1,2,2,2,2,2,3,1,1,2,1,1,1,1,2,2,5,3D-animointi ja -visualisointi
4,1,1,1,2,4,1,2,2,1,1,1,2,2,2,1,3,1,2,2,2,2,2,2,3,3D-animointi ja -visualisointi
5,1,2,2,2,4,2,2,1,1,1,2,1,4,2,2,1,1,2,2,1,1,2,2,5,3D-animointi ja -visualisointi
5,1,2,2,1,4,1,2,1,2,1,1,2,4,2,2,1,1,2,2,1,2,2,2,4,3D-animointi ja -visualisointi
4,1,2,1,2,4,2,1,1,2,1,1,1,2,1,1,2,2,2,2,4,1,2,2,5,3D-animointi ja -visualisointi
5,2,2,1,2,5,1,2,2,1,2,2,1,2,2,1,2,2,2,2,5,2,1,2,5,3D-animointi ja -visualisointi
5,1,2,1,2,5,1,1,1,1,2,2,1,2,1,2,2,1,2,4,2,1,1,3,4,3D-animointi ja -visualisointi
1,4,1,1,1,2,5,1,1,2,2,2,2,2,1,2,1,2,2,5,2,2,2,1,1,Ajoneuvotekniikka
1,4,1,1,1,2,5,2,2,1,3,2,5,1,1,1,1,1,1,4,1,2,3,1,2,Ajoneuvotekniikka
1,5,1,2,1,1,5,1,1,1,2,2,2,1,1,1,2,1,1,4,1,1,2,1,2,Ajoneuvotekniikka
1,5,2,2,1,2,4,2,3,2,2,2,1,1,2,3,2,2,2,5,1,4,1,3,2,Ajoneuvotekniikka
1,5,2,2,1,2,5,2,1,2,1,2,1,2,1,1,1,1,4,5,2,1,2,1,2,Ajoneuvotekniikka
1,4,2,1,1,1,4,3,1,2,2,2,1,1,1,2,1,2,2,5,2,1,2,1,2,Ajoneuvotekniikka
1,4,1,1,2,2,4,2,2,1,1,1,1,1,2,2,1,2,2,5,2,1,2,1,4,Ajoneuvotekniikka
2,5,2,2,2,2,5,1,1,2,2,2,2,1,1,1,1,1,1,5,4,1,1,1,1,Ajoneuvotekniikka
1,4,1,2,2,1,5,2,2,2,1,2,2,5,1,1,1,1,1,5,1,1,2,1,5,Ajoneuvotekniikka
1,5,1,2,2,2,4,2,2,2,1,1,1,1,1,2,2,2,1,5,2,2,1,2,1,Ajoneuvotekniikka
1,2,4,2,2,1,2,2,2,1,2,1,1,1,2,4,1,2,2,4,5,2,1,2,2,Apuvälineteknikko
1,2,5,1,1,1,1,2,1,3,1,2,1,1,2,1,1,2,4,5,5,1,1,5,1,Apuvälineteknikko
1,2,4,1,1,2,2,3,1,1,1,2,2,3,4,2,2,2,4,4,5,1,2,2,2,Apuvälineteknikko
1,1,5,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,5,5,1,2,1,3,Apuvälineteknikko
2,2,5,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,5,5,2,1,1,1,Apuvälineteknikko
